latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.321617,74.79452,97.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_mean (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),sunshine_duration (s),wind_direction_10m_dominant (°),pressure_msl_mean (hPa),cloud_cover_mean (%),dew_point_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³)
2011-01-04,24.7,0.00,19.69,27.7,17.4,4.09,36798.94,325,1009.7,70,20.4,0.278
2011-01-05,25.4,0.00,17.77,28.5,15.9,3.91,36494.80,309,1008.7,85,20.4,0.276
2011-01-06,26.2,0.00,19.31,28.8,18.4,4.45,36924.74,319,1008.7,61,19.4,0.273
2011-01-07,25.6,0.00,20.26,28.0,15.6,4.52,37417.72,178,1008.6,12,18.6,0.270
2011-01-08,25.2,0.00,20.29,28.2,15.1,4.38,37473.21,313,1008.3,29,20.0,0.268
2011-01-09,25.2,0.00,20.82,28.4,18.3,4.49,37701.15,297,1008.0,52,20.0,0.266
2011-01-10,25.2,0.00,20.39,28.6,16.6,4.36,36708.97,280,1009.1,85,20.4,0.264
2011-01-11,25.2,0.00,21.64,26.9,16.4,4.88,37715.00,294,1009.4,27,16.1,0.262
2011-01-12,24.2,0.00,21.82,25.8,16.5,4.77,37810.71,279,1009.1,7,15.9,0.261
2011-01-13,24.2,0.00,21.95,25.8,16.0,4.81,37846.91,283,1009.5,8,16.3,0.259
2011-01-14,23.8,0.00,22.00,24.9,16.3,4.83,37825.96,243,1010.1,60,15.0,0.258
2011-01-15,24.1,0.00,22.19,25.1,16.4,4.95,37918.36,312,1010.9,12,15.3,0.257
2011-01-16,24.1,0.00,21.78,25.4,14.0,4.84,37953.46,311,1010.2,2,15.4,0.256
2011-01-17,23.9,0.00,21.03,26.3,13.2,4.42,37933.00,222,1010.2,4,18.4,0.255
2011-01-18,24.5,0.00,21.67,26.9,15.0,4.60,37967.43,294,1009.8,0,18.1,0.255
2011-01-19,24.1,0.00,21.78,26.6,15.0,4.64,38001.11,224,1009.5,6,18.4,0.254
2011-01-20,24.5,0.00,21.77,27.5,17.7,4.60,38033.94,266,1010.2,11,19.5,0.254
2011-01-21,25.7,0.00,21.69,28.0,16.9,5.08,38065.96,302,1009.9,73,18.4,0.253
2011-01-22,25.5,0.00,22.10,26.2,18.8,5.43,38097.65,271,1010.9,15,15.1,0.253
2011-01-23,25.4,0.00,22.13,27.1,18.0,5.12,38129.08,255,1012.0,30,17.0,0.252
2011-01-24,25.7,0.00,22.41,26.7,15.6,5.30,38160.19,318,1011.5,0,14.8,0.252
2011-01-25,25.3,0.00,22.78,25.4,18.0,5.54,38190.95,300,1011.3,1,12.7,0.252
2011-01-26,25.2,0.00,22.46,26.6,16.9,5.17,38221.34,267,1011.6,76,15.7,0.252
2011-01-27,25.3,0.00,22.74,27.1,16.9,5.16,38251.30,295,1012.2,12,16.7,0.251
2011-01-28,25.2,0.00,22.83,26.8,18.1,5.20,38280.82,306,1011.7,40,16.5,0.251
2011-01-29,25.4,0.00,22.73,26.5,18.8,5.40,38309.83,316,1010.3,12,15.7,0.251
2011-01-30,25.8,0.00,23.02,26.3,19.1,5.73,38338.31,328,1010.2,2,13.8,0.251
2011-01-31,26.1,0.00,22.99,26.6,19.1,5.79,38366.21,324,1010.4,11,14.3,0.251
2011-02-01,26.5,0.00,22.35,26.0,17.6,6.19,38374.22,353,1010.9,36,11.6,0.251
2011-02-02,26.2,0.00,23.19,25.5,18.8,6.39,38420.15,356,1011.0,13,10.6,0.251
2011-02-03,25.7,0.00,23.25,25.9,18.9,5.85,38429.39,117,1010.9,38,13.2,0.251
2011-02-04,25.8,0.00,22.97,26.9,18.8,5.62,38456.12,328,1011.5,41,15.9,0.251
2011-02-05,25.8,0.00,23.44,26.5,18.3,5.73,38556.75,295,1009.2,22,14.2,0.251
2011-02-06,25.2,0.00,23.63,26.3,20.4,5.50,38581.36,191,1009.5,5,15.3,0.251
